"dia","grado","asignatura","area","codigo","descricao"
151,"2º","Bíblia","Alfabetização Bíblica","2.BL.1.b.ii","Posso recontar a história de Josué e Jericó."
152,"2º","Bíblia","Alfabetização Bíblica","2.BL.1.b.iii","Posso recontar a história de Elias."
153,"2º","Bíblia","Alfabetização Bíblica","2.BL.1.b.iii","Posso recontar a história de Elias."
154,"2º","Bíblia","Alfabetização Bíblica","2.BL.1.b.iv","Posso recontar a história de Ester."
155,"2º","Bíblia","Alfabetização Bíblica","2.BL.1.b.iv","Posso recontar a história de Ester."
156,"2º","Bíblia","Alfabetização Bíblica","2.BL.1.b.v","Posso recontar a história de Daniel."
157,"2º","Bíblia","Alfabetização Bíblica","2.BL.1.b.v","Posso recontar a história de Daniel."
158,"2º","Bíblia","Alfabetização Bíblica","2.BL.1.b.vi","Posso recontar a história de Pedro (ex. sua negação, fuga da prisão e a salvação de Cornélio)."
159,"2º","Bíblia","Alfabetização Bíblica","2.BL.1.b.vi","Posso recontar a história de Pedro (ex. sua negação, fuga da prisão e a salvação de Cornélio)."
160,"2º","Bíblia","Alfabetização Bíblica","2.BL.1.c","Posso comparar a história de Paulo e Silas com a história de Paulo e Barnabé."
161,"2º","Bíblia","Alfabetização Bíblica","2.BL.1.c","Posso comparar a história de Paulo e Silas com a história de Paulo e Barnabé."
162,"2º","Bíblia","Alfabetização Bíblica","2.BL.1.d","Posso nomear os livros da Bíblia."
163,"2º","Bíblia","Alfabetização Bíblica","2.BL.1.d","Posso nomear os livros da Bíblia."
164,"2º","Bíblia","Alfabetização Bíblica","2.BL.1.e","Posso memorizar os versículos bíblicos principais (Romanos 5:8, Romanos 6:23, Romanos 10:13, Filipenses 1:6) e explicar o que significam com minhas próprias palavras."
165,"2º","Bíblia","Alfabetização Bíblica","2.BL.1.e","Posso memorizar os versículos bíblicos principais (Romanos 5:8, Romanos 6:23, Romanos 10:13, Filipenses 1:6) e explicar o que significam com minhas próprias palavras."
166,"2º","Bíblia","Discernimento Espiritual","2.SD.2.a","Posso dar exemplos de fazer a coisa certa mesmo que seja difícil."
167,"2º","Bíblia","Discernimento Espiritual","2.SD.2.a","Posso dar exemplos de fazer a coisa certa mesmo que seja difícil."
168,"2º","Bíblia","Discernimento Espiritual","2.SD.2.b","Posso explicar como conversar com Deus pode me ajudar."
169,"2º","Bíblia","Discernimento Espiritual","2.SD.2.b","Posso explicar como conversar com Deus pode me ajudar."
170,"2º","Bíblia","Discernimento Espiritual","2.SD.2.c","Posso explicar que a salvação vem somente através de Jesus."
171,"2º","Bíblia","Discernimento Espiritual","2.SD.2.c","Posso explicar que a salvação vem somente através de Jesus."
172,"2º","Bíblia","Cosmovisão Bíblica","2.BW.3.a","Posso explicar por que devo ler e obedecer à Palavra de Deus."
173,"2º","Bíblia","Cosmovisão Bíblica","2.BW.3.a","Posso explicar por que devo ler e obedecer à Palavra de Deus."
174,"2º","Bíblia","Aplicação à Vida e Serviço","2.LAS.4.a","Posso dar exemplos de pessoas de diferentes culturas e religiões a quem devo mostrar respeito."
175,"2º","Bíblia","Aplicação à Vida e Serviço","2.LAS.4.a","Posso dar exemplos de pessoas de diferentes culturas e religiões a quem devo mostrar respeito."
176,"2º","Bíblia","Aplicação à Vida e Serviço","2.LAS.4.b","Posso explicar por que preciso obedecer àqueles que estão em autoridade."
177,"2º","Bíblia","Aplicação à Vida e Serviço","2.LAS.4.b","Posso explicar por que preciso obedecer àqueles que estão em autoridade."
178,"2º","Bíblia","Aplicação à Vida e Serviço","2.LAS.4.c","Posso explicar como amar perdoando os outros e pedindo perdão."
179,"2º","Bíblia","Aplicação à Vida e Serviço","2.LAS.4.c","Posso explicar como amar perdoando os outros e pedindo perdão."
180,"2º","Bíblia","Aplicação à Vida e Serviço","2.LAS.4.d","Posso descrever maneiras de mostrar compaixão por pessoas pobres ou necessitadas."
1,"3º","Bíblia","Alfabetização Bíblica","3.BL.1.a","Posso recordar eventos principais na vida de Cristo, como Seu nascimento, batismo, tentações, escolha dos discípulos, morte, ressurreição e ascensão."
2,"3º","Bíblia","Alfabetização Bíblica","3.BL.1.a","Posso recordar eventos principais na vida de Cristo, como Seu nascimento, batismo, tentações, escolha dos discípulos, morte, ressurreição e ascensão."
3,"3º","Bíblia","Alfabetização Bíblica","3.BL.1.a","Posso recordar eventos principais na vida de Cristo, como Seu nascimento, batismo, tentações, escolha dos discípulos, morte, ressurreição e ascensão."
4,"3º","Bíblia","Alfabetização Bíblica","3.BL.1.b","Posso identificar o significado de várias parábolas que Jesus contou."
5,"3º","Bíblia","Alfabetização Bíblica","3.BL.1.b","Posso identificar o significado de várias parábolas que Jesus contou."
6,"3º","Bíblia","Alfabetização Bíblica","3.BL.1.c","Posso identificar vários milagres que Jesus realizou."
7,"3º","Bíblia","Alfabetização Bíblica","3.BL.1.c","Posso identificar vários milagres que Jesus realizou."
8,"3º","Bíblia","Alfabetização Bíblica","3.BL.1.d.i","Posso localizar em um mapa os lugares da vida de Jesus (ex. Belém, Egito, Nazaré, Jerusalém, rio Jordão, mar da Galileia, Betânia)."
9,"3º","Bíblia","Alfabetização Bíblica","3.BL.1.d.i","Posso localizar em um mapa os lugares da vida de Jesus (ex. Belém, Egito, Nazaré, Jerusalém, rio Jordão, mar da Galileia, Betânia)."
10,"3º","Bíblia","Alfabetização Bíblica","3.BL.1.d.ii","Posso localizar em um mapa as cidades nas viagens de Paulo."
11,"3º","Bíblia","Alfabetização Bíblica","3.BL.1.d.ii","Posso localizar em um mapa as cidades nas viagens de Paulo."
12,"3º","Bíblia","Alfabetização Bíblica","3.BL.1.e","Posso explicar como o evangelho se espalhou após a ascensão de Jesus (a vinda do Espírito Santo no Pentecostes, a perseguição dos crentes, as viagens missionárias de Paulo)."
13,"3º","Bíblia","Alfabetização Bíblica","3.BL.1.e","Posso explicar como o evangelho se espalhou após a ascensão de Jesus (a vinda do Espírito Santo no Pentecostes, a perseguição dos crentes, as viagens missionárias de Paulo)."
14,"3º","Bíblia","Alfabetização Bíblica","3.BL.1.f","Posso explicar o propósito da morte de Jesus na cruz."
15,"3º","Bíblia","Alfabetização Bíblica","3.BL.1.f","Posso explicar o propósito da morte de Jesus na cruz."
16,"3º","Bíblia","Alfabetização Bíblica","3.BL.1.g","Posso categorizar os livros do Novo Testamento em Evangelhos, Atos dos Apóstolos, cartas (de Paulo, gerais) e Apocalipse."
17,"3º","Bíblia","Alfabetização Bíblica","3.BL.1.g","Posso categorizar os livros do Novo Testamento em Evangelhos, Atos dos Apóstolos, cartas (de Paulo, gerais) e Apocalipse."
18,"3º","Bíblia","Alfabetização Bíblica","3.BL.1.h","Posso memorizar os versículos bíblicos principais (João 1:1-2, João 3:3, Romanos 8:38-39, 2 Coríntios 5:17) e explicar o que significam para mim."
19,"3º","Bíblia","Alfabetização Bíblica","3.BL.1.h","Posso memorizar os versículos bíblicos principais (João 1:1-2, João 3:3, Romanos 8:38-39, 2 Coríntios 5:17) e explicar o que significam para mim."
20,"3º","Bíblia","Discernimento Espiritual","3.SD.2.a","Posso explicar como Deus pode me guiar em todas as circunstâncias como parte do Seu bom plano."
21,"3º","Bíblia","Discernimento Espiritual","3.SD.2.a","Posso explicar como Deus pode me guiar em todas as circunstâncias como parte do Seu bom plano."
22,"3º","Bíblia","Discernimento Espiritual","3.SD.2.b","Posso descrever o papel do louvor e da ação de graças na oração."
23,"3º","Bíblia","Discernimento Espiritual","3.SD.2.b","Posso descrever o papel do louvor e da ação de graças na oração."
24,"3º","Bíblia","Discernimento Espiritual","3.SD.2.c","Posso diferenciar entre coisas úteis e prejudiciais que entram em minha mente."
25,"3º","Bíblia","Discernimento Espiritual","3.SD.2.c","Posso diferenciar entre coisas úteis e prejudiciais que entram em minha mente."
26,"3º","Bíblia","Cosmovisão Bíblica","3.BW.3.a","Posso usar as Escrituras para mostrar que Jesus é a Palavra de Deus."
27,"3º","Bíblia","Cosmovisão Bíblica","3.BW.3.a","Posso usar as Escrituras para mostrar que Jesus é a Palavra de Deus."
28,"3º","Bíblia","Aplicação à Vida e Serviço","3.LAS.4.a","Posso identificar aqueles que Deus colocou em autoridade sobre mim e nomear maneiras de obedecê-los."
29,"3º","Bíblia","Aplicação à Vida e Serviço","3.LAS.4.a","Posso identificar aqueles que Deus colocou em autoridade sobre mim e nomear maneiras de obedecê-los."
30,"3º","Bíblia","Aplicação à Vida e Serviço","3.LAS.4.b","Posso explicar por que devo perdoar os outros."
31,"3º","Bíblia","Aplicação à Vida e Serviço","3.LAS.4.b","Posso explicar por que devo perdoar os outros."
32,"3º","Bíblia","Aplicação à Vida e Serviço","3.LAS.4.c","Posso dar exemplos de como assumir a responsabilidade por minhas ações."
33,"3º","Bíblia","Aplicação à Vida e Serviço","3.LAS.4.c","Posso dar exemplos de como assumir a responsabilidade por minhas ações."
34,"3º","Bíblia","Aplicação à Vida e Serviço","3.LAS.4.d","Posso explicar por que devo mostrar compaixão por pessoas pobres ou necessitadas."
35,"3º","Bíblia","Aplicação à Vida e Serviço","3.LAS.4.d","Posso explicar por que devo mostrar compaixão por pessoas pobres ou necessitadas."
36,"3º","Bíblia","Alfabetização Bíblica","3.BL.1.a","Posso recordar eventos principais na vida de Cristo, como Seu nascimento, batismo, tentações, escolha dos discípulos, morte, ressurreição e ascensão."
37,"3º","Bíblia","Alfabetização Bíblica","3.BL.1.a","Posso recordar eventos principais na vida de Cristo, como Seu nascimento, batismo, tentações, escolha dos discípulos, morte, ressurreição e ascensão."
38,"3º","Bíblia","Alfabetização Bíblica","3.BL.1.b","Posso identificar o significado de várias parábolas que Jesus contou."
39,"3º","Bíblia","Alfabetização Bíblica","3.BL.1.b","Posso identificar o significado de várias parábolas que Jesus contou."
40,"3º","Bíblia","Alfabetização Bíblica","3.BL.1.c","Posso identificar vários milagres que Jesus realizou."
41,"3º","Bíblia","Alfabetização Bíblica","3.BL.1.c","Posso identificar vários milagres que Jesus realizou."
42,"3º","Bíblia","Alfabetização Bíblica","3.BL.1.d.i","Posso localizar em um mapa os lugares da vida de Jesus (ex. Belém, Egito, Nazaré, Jerusalém, rio Jordão, mar da Galileia, Betânia)."
43,"3º","Bíblia","Alfabetização Bíblica","3.BL.1.d.i","Posso localizar em um mapa os lugares da vida de Jesus (ex. Belém, Egito, Nazaré, Jerusalém, rio Jordão, mar da Galileia, Betânia)."
44,"3º","Bíblia","Alfabetização Bíblica","3.BL.1.d.ii","Posso localizar em um mapa as cidades nas viagens de Paulo."
45,"3º","Bíblia","Alfabetização Bíblica","3.BL.1.d.ii","Posso localizar em um mapa as cidades nas viagens de Paulo."
46,"3º","Bíblia","Alfabetização Bíblica","3.BL.1.e","Posso explicar como o evangelho se espalhou após a ascensão de Jesus (a vinda do Espírito Santo no Pentecostes, a perseguição dos crentes, as viagens missionárias de Paulo)."
47,"3º","Bíblia","Alfabetização Bíblica","3.BL.1.e","Posso explicar como o evangelho se espalhou após a ascensão de Jesus (a vinda do Espírito Santo no Pentecostes, a perseguição dos crentes, as viagens missionárias de Paulo)."
48,"3º","Bíblia","Alfabetização Bíblica","3.BL.1.f","Posso explicar o propósito da morte de Jesus na cruz."
49,"3º","Bíblia","Alfabetização Bíblica","3.BL.1.f","Posso explicar o propósito da morte de Jesus na cruz."
50,"3º","Bíblia","Alfabetização Bíblica","3.BL.1.g","Posso categorizar os livros do Novo Testamento em Evangelhos, Atos dos Apóstolos, cartas (de Paulo, gerais) e Apocalipse."
51,"3º","Bíblia","Alfabetização Bíblica","3.BL.1.g","Posso categorizar os livros do Novo Testamento em Evangelhos, Atos dos Apóstolos, cartas (de Paulo, gerais) e Apocalipse."
52,"3º","Bíblia","Alfabetização Bíblica","3.BL.1.h","Posso memorizar os versículos bíblicos principais (João 1:1-2, João 3:3, Romanos 8:38-39, 2 Coríntios 5:17) e explicar o que significam para mim."
53,"3º","Bíblia","Alfabetização Bíblica","3.BL.1.h","Posso memorizar os versículos bíblicos principais (João 1:1-2, João 3:3, Romanos 8:38-39, 2 Coríntios 5:17) e explicar o que significam para mim."
54,"3º","Bíblia","Discernimento Espiritual","3.SD.2.a","Posso explicar como Deus pode me guiar em todas as circunstâncias como parte do Seu bom plano."
55,"3º","Bíblia","Discernimento Espiritual","3.SD.2.a","Posso explicar como Deus pode me guiar em todas as circunstâncias como parte do Seu bom plano."
56,"3º","Bíblia","Discernimento Espiritual","3.SD.2.b","Posso descrever o papel do louvor e da ação de graças na oração."
57,"3º","Bíblia","Discernimento Espiritual","3.SD.2.b","Posso descrever o papel do louvor e da ação de graças na oração."
58,"3º","Bíblia","Discernimento Espiritual","3.SD.2.c","Posso diferenciar entre coisas úteis e prejudiciais que entram em minha mente."
59,"3º","Bíblia","Discernimento Espiritual","3.SD.2.c","Posso diferenciar entre coisas úteis e prejudiciais que entram em minha mente."
60,"3º","Bíblia","Cosmovisão Bíblica","3.BW.3.a","Posso usar as Escrituras para mostrar que Jesus é a Palavra de Deus."
61,"3º","Bíblia","Cosmovisão Bíblica","3.BW.3.a","Posso usar as Escrituras para mostrar que Jesus é a Palavra de Deus."
62,"3º","Bíblia","Aplicação à Vida e Serviço","3.LAS.4.a","Posso identificar aqueles que Deus colocou em autoridade sobre mim e nomear maneiras de obedecê-los."
63,"3º","Bíblia","Aplicação à Vida e Serviço","3.LAS.4.a","Posso identificar aqueles que Deus colocou em autoridade sobre mim e nomear maneiras de obedecê-los."
64,"3º","Bíblia","Aplicação à Vida e Serviço","3.LAS.4.b","Posso explicar por que devo perdoar os outros."
65,"3º","Bíblia","Aplicação à Vida e Serviço","3.LAS.4.b","Posso explicar por que devo perdoar os outros."
66,"3º","Bíblia","Aplicação à Vida e Serviço","3.LAS.4.c","Posso dar exemplos de como assumir a responsabilidade por minhas ações."
67,"3º","Bíblia","Aplicação à Vida e Serviço","3.LAS.4.c","Posso dar exemplos de como assumir a responsabilidade por minhas ações."
68,"3º","Bíblia","Aplicação à Vida e Serviço","3.LAS.4.d","Posso explicar por que devo mostrar compaixão por pessoas pobres ou necessitadas."
69,"3º","Bíblia","Aplicação à Vida e Serviço","3.LAS.4.d","Posso explicar por que devo mostrar compaixão por pessoas pobres ou necessitadas."
70,"3º","Bíblia","Alfabetização Bíblica","3.BL.1.a","Posso recordar eventos principais na vida de Cristo, como Seu nascimento, batismo, tentações, escolha dos discípulos, morte, ressurreição e ascensão."
71,"3º","Bíblia","Alfabetização Bíblica","3.BL.1.a","Posso recordar eventos principais na vida de Cristo, como Seu nascimento, batismo, tentações, escolha dos discípulos, morte, ressurreição e ascensão."
72,"3º","Bíblia","Alfabetização Bíblica","3.BL.1.b","Posso identificar o significado de várias parábolas que Jesus contou."
73,"3º","Bíblia","Alfabetização Bíblica","3.BL.1.b","Posso identificar o significado de várias parábolas que Jesus contou."
74,"3º","Bíblia","Alfabetização Bíblica","3.BL.1.c","Posso identificar vários milagres que Jesus realizou."
75,"3º","Bíblia","Alfabetização Bíblica","3.BL.1.c","Posso identificar vários milagres que Jesus realizou."
76,"3º","Bíblia","Alfabetização Bíblica","3.BL.1.d.i","Posso localizar em um mapa os lugares da vida de Jesus (ex. Belém, Egito, Nazaré, Jerusalém, rio Jordão, mar da Galileia, Betânia)."
77,"3º","Bíblia","Alfabetização Bíblica","3.BL.1.d.i","Posso localizar em um mapa os lugares da vida de Jesus (ex. Belém, Egito, Nazaré, Jerusalém, rio Jordão, mar da Galileia, Betânia)."
78,"3º","Bíblia","Alfabetização Bíblica","3.BL.1.d.ii","Posso localizar em um mapa as cidades nas viagens de Paulo."
79,"3º","Bíblia","Alfabetização Bíblica","3.BL.1.d.ii","Posso localizar em um mapa as cidades nas viagens de Paulo."
80,"3º","Bíblia","Alfabetização Bíblica","3.BL.1.e","Posso explicar como o evangelho se espalhou após a ascensão de Jesus (a vinda do Espírito Santo no Pentecostes, a perseguição dos crentes, as viagens missionárias de Paulo)."
81,"3º","Bíblia","Alfabetização Bíblica","3.BL.1.e","Posso explicar como o evangelho se espalhou após a ascensão de Jesus (a vinda do Espírito Santo no Pentecostes, a perseguição dos crentes, as viagens missionárias de Paulo)."
82,"3º","Bíblia","Alfabetização Bíblica","3.BL.1.f","Posso explicar o propósito da morte de Jesus na cruz."
83,"3º","Bíblia","Alfabetização Bíblica","3.BL.1.f","Posso explicar o propósito da morte de Jesus na cruz."
84,"3º","Bíblia","Alfabetização Bíblica","3.BL.1.g","Posso categorizar os livros do Novo Testamento em Evangelhos, Atos dos Apóstolos, cartas (de Paulo, gerais) e Apocalipse."
85,"3º","Bíblia","Alfabetização Bíblica","3.BL.1.g","Posso categorizar os livros do Novo Testamento em Evangelhos, Atos dos Apóstolos, cartas (de Paulo, gerais) e Apocalipse."
86,"3º","Bíblia","Alfabetização Bíblica","3.BL.1.h","Posso memorizar os versículos bíblicos principais (João 1:1-2, João 3:3, Romanos 8:38-39, 2 Coríntios 5:17) e explicar o que significam para mim."
87,"3º","Bíblia","Alfabetização Bíblica","3.BL.1.h","Posso memorizar os versículos bíblicos principais (João 1:1-2, João 3:3, Romanos 8:38-39, 2 Coríntios 5:17) e explicar o que significam para mim."
88,"3º","Bíblia","Discernimento Espiritual","3.SD.2.a","Posso explicar como Deus pode me guiar em todas as circunstâncias como parte do Seu bom plano."
89,"3º","Bíblia","Discernimento Espiritual","3.SD.2.a","Posso explicar como Deus pode me guiar em todas as circunstâncias como parte do Seu bom plano."
90,"3º","Bíblia","Discernimento Espiritual","3.SD.2.b","Posso descrever o papel do louvor e da ação de graças na oração."
91,"3º","Bíblia","Discernimento Espiritual","3.SD.2.b","Posso descrever o papel do louvor e da ação de graças na oração."
92,"3º","Bíblia","Discernimento Espiritual","3.SD.2.c","Posso diferenciar entre coisas úteis e prejudiciais que entram em minha mente."
93,"3º","Bíblia","Discernimento Espiritual","3.SD.2.c","Posso diferenciar entre coisas úteis e prejudiciais que entram em minha mente."
94,"3º","Bíblia","Cosmovisão Bíblica","3.BW.3.a","Posso usar as Escrituras para mostrar que Jesus é a Palavra de Deus."
95,"3º","Bíblia","Cosmovisão Bíblica","3.BW.3.a","Posso usar as Escrituras para mostrar que Jesus é a Palavra de Deus."
96,"3º","Bíblia","Aplicação à Vida e Serviço","3.LAS.4.a","Posso identificar aqueles que Deus colocou em autoridade sobre mim e nomear maneiras de obedecê-los."
97,"3º","Bíblia","Aplicação à Vida e Serviço","3.LAS.4.a","Posso identificar aqueles que Deus colocou em autoridade sobre mim e nomear maneiras de obedecê-los."
98,"3º","Bíblia","Aplicação à Vida e Serviço","3.LAS.4.b","Posso explicar por que devo perdoar os outros."
99,"3º","Bíblia","Aplicação à Vida e Serviço","3.LAS.4.b","Posso explicar por que devo perdoar os outros."
100,"3º","Bíblia","Aplicação à Vida e Serviço","3.LAS.4.c","Posso dar exemplos de como assumir a responsabilidade por minhas ações."
101,"3º","Bíblia","Aplicação à Vida e Serviço","3.LAS.4.c","Posso dar exemplos de como assumir a responsabilidade por minhas ações."
102,"3º","Bíblia","Aplicação à Vida e Serviço","3.LAS.4.d","Posso explicar por que devo mostrar compaixão por pessoas pobres ou necessitadas."
103,"3º","Bíblia","Aplicação à Vida e Serviço","3.LAS.4.d","Posso explicar por que devo mostrar compaixão por pessoas pobres ou necessitadas."
104,"3º","Bíblia","Alfabetização Bíblica","3.BL.1.a","Posso recordar eventos principais na vida de Cristo, como Seu nascimento, batismo, tentações, escolha dos discípulos, morte, ressurreição e ascensão."
105,"3º","Bíblia","Alfabetização Bíblica","3.BL.1.a","Posso recordar eventos principais na vida de Cristo, como Seu nascimento, batismo, tentações, escolha dos discípulos, morte, ressurreição e ascensão."
106,"3º","Bíblia","Alfabetização Bíblica","3.BL.1.b","Posso identificar o significado de várias parábolas que Jesus contou."
107,"3º","Bíblia","Alfabetização Bíblica","3.BL.1.b","Posso identificar o significado de várias parábolas que Jesus contou."
108,"3º","Bíblia","Alfabetização Bíblica","3.BL.1.c","Posso identificar vários milagres que Jesus realizou."
109,"3º","Bíblia","Alfabetização Bíblica","3.BL.1.c","Posso identificar vários milagres que Jesus realizou."
110,"3º","Bíblia","Alfabetização Bíblica","3.BL.1.d.i","Posso localizar em um mapa os lugares da vida de Jesus (ex. Belém, Egito, Nazaré, Jerusalém, rio Jordão, mar da Galileia, Betânia)."
111,"3º","Bíblia","Alfabetização Bíblica","3.BL.1.d.i","Posso localizar em um mapa os lugares da vida de Jesus (ex. Belém, Egito, Nazaré, Jerusalém, rio Jordão, mar da Galileia, Betânia)."
112,"3º","Bíblia","Alfabetização Bíblica","3.BL.1.d.ii","Posso localizar em um mapa as cidades nas viagens de Paulo."
113,"3º","Bíblia","Alfabetização Bíblica","3.BL.1.d.ii","Posso localizar em um mapa as cidades nas viagens de Paulo."
114,"3º","Bíblia","Alfabetização Bíblica","3.BL.1.e","Posso explicar como o evangelho se espalhou após a ascensão de Jesus (a vinda do Espírito Santo no Pentecostes, a perseguição dos crentes, as viagens missionárias de Paulo)."
115,"3º","Bíblia","Alfabetização Bíblica","3.BL.1.e","Posso explicar como o evangelho se espalhou após a ascensão de Jesus (a vinda do Espírito Santo no Pentecostes, a perseguição dos crentes, as viagens missionárias de Paulo)."
116,"3º","Bíblia","Alfabetização Bíblica","3.BL.1.f","Posso explicar o propósito da morte de Jesus na cruz."
117,"3º","Bíblia","Alfabetização Bíblica","3.BL.1.f","Posso explicar o propósito da morte de Jesus na cruz."
118,"3º","Bíblia","Alfabetização Bíblica","3.BL.1.g","Posso categorizar os livros do Novo Testamento em Evangelhos, Atos dos Apóstolos, cartas (de Paulo, gerais) e Apocalipse."
119,"3º","Bíblia","Alfabetização Bíblica","3.BL.1.g","Posso categorizar os livros do Novo Testamento em Evangelhos, Atos dos Apóstolos, cartas (de Paulo, gerais) e Apocalipse."
120,"3º","Bíblia","Alfabetização Bíblica","3.BL.1.h","Posso memorizar os versículos bíblicos principais (João 1:1-2, João 3:3, Romanos 8:38-39, 2 Coríntios 5:17) e explicar o que significam para mim."
121,"3º","Bíblia","Alfabetização Bíblica","3.BL.1.h","Posso memorizar os versículos bíblicos principais (João 1:1-2, João 3:3, Romanos 8:38-39, 2 Coríntios 5:17) e explicar o que significam para mim."
122,"3º","Bíblia","Discernimento Espiritual","3.SD.2.a","Posso explicar como Deus pode me guiar em todas as circunstâncias como parte do Seu bom plano."
123,"3º","Bíblia","Discernimento Espiritual","3.SD.2.a","Posso explicar como Deus pode me guiar em todas as circunstâncias como parte do Seu bom plano."
124,"3º","Bíblia","Discernimento Espiritual","3.SD.2.b","Posso descrever o papel do louvor e da ação de graças na oração."
125,"3º","Bíblia","Discernimento Espiritual","3.SD.2.b","Posso descrever o papel do louvor e da ação de graças na oração."
126,"3º","Bíblia","Discernimento Espiritual","3.SD.2.c","Posso diferenciar entre coisas úteis e prejudiciais que entram em minha mente."
127,"3º","Bíblia","Discernimento Espiritual","3.SD.2.c","Posso diferenciar entre coisas úteis e prejudiciais que entram em minha mente."
128,"3º","Bíblia","Cosmovisão Bíblica","3.BW.3.a","Posso usar as Escrituras para mostrar que Jesus é a Palavra de Deus."
129,"3º","Bíblia","Cosmovisão Bíblica","3.BW.3.a","Posso usar as Escrituras para mostrar que Jesus é a Palavra de Deus."
130,"3º","Bíblia","Aplicação à Vida e Serviço","3.LAS.4.a","Posso identificar aqueles que Deus colocou em autoridade sobre mim e nomear maneiras de obedecê-los."
131,"3º","Bíblia","Aplicação à Vida e Serviço","3.LAS.4.a","Posso identificar aqueles que Deus colocou em autoridade sobre mim e nomear maneiras de obedecê-los."
132,"3º","Bíblia","Aplicação à Vida e Serviço","3.LAS.4.b","Posso explicar por que devo perdoar os outros."
133,"3º","Bíblia","Aplicação à Vida e Serviço","3.LAS.4.b","Posso explicar por que devo perdoar os outros."
134,"3º","Bíblia","Aplicação à Vida e Serviço","3.LAS.4.c","Posso dar exemplos de como assumir a responsabilidade por minhas ações."
135,"3º","Bíblia","Aplicação à Vida e Serviço","3.LAS.4.c","Posso dar exemplos de como assumir a responsabilidade por minhas ações."
136,"3º","Bíblia","Aplicação à Vida e Serviço","3.LAS.4.d","Posso explicar por que devo mostrar compaixão por pessoas pobres ou necessitadas."
137,"3º","Bíblia","Aplicação à Vida e Serviço","3.LAS.4.d","Posso explicar por que devo mostrar compaixão por pessoas pobres ou necessitadas."
138,"3º","Bíblia","Alfabetização Bíblica","3.BL.1.a","Posso recordar eventos principais na vida de Cristo, como Seu nascimento, batismo, tentações, escolha dos discípulos, morte, ressurreição e ascensão."
139,"3º","Bíblia","Alfabetização Bíblica","3.BL.1.a","Posso recordar eventos principais na vida de Cristo, como Seu nascimento, batismo, tentações, escolha dos discípulos, morte, ressurreição e ascensão."
140,"3º","Bíblia","Alfabetização Bíblica","3.BL.1.b","Posso identificar o significado de várias parábolas que Jesus contou."
141,"3º","Bíblia","Alfabetização Bíblica","3.BL.1.b","Posso identificar o significado de várias parábolas que Jesus contou."
142,"3º","Bíblia","Alfabetização Bíblica","3.BL.1.c","Posso identificar vários milagres que Jesus realizou."
143,"3º","Bíblia","Alfabetização Bíblica","3.BL.1.c","Posso identificar vários milagres que Jesus realizou."
144,"3º","Bíblia","Alfabetização Bíblica","3.BL.1.d.i","Posso localizar em um mapa os lugares da vida de Jesus (ex. Belém, Egito, Nazaré, Jerusalém, rio Jordão, mar da Galileia, Betânia)."
145,"3º","Bíblia","Alfabetização Bíblica","3.BL.1.d.i","Posso localizar em um mapa os lugares da vida de Jesus (ex. Belém, Egito, Nazaré, Jerusalém, rio Jordão, mar da Galileia, Betânia)."
146,"3º","Bíblia","Alfabetização Bíblica","3.BL.1.d.ii","Posso localizar em um mapa as cidades nas viagens de Paulo."
147,"3º","Bíblia","Alfabetização Bíblica","3.BL.1.d.ii","Posso localizar em um mapa as cidades nas viagens de Paulo."
148,"3º","Bíblia","Alfabetização Bíblica","3.BL.1.e","Posso explicar como o evangelho se espalhou após a ascensão de Jesus (a vinda do Espírito Santo no Pentecostes, a perseguição dos crentes, as viagens missionárias de Paulo)."
149,"3º","Bíblia","Alfabetização Bíblica","3.BL.1.e","Posso explicar como o evangelho se espalhou após a ascensão de Jesus (a vinda do Espírito Santo no Pentecostes, a perseguição dos crentes, as viagens missionárias de Paulo)."
150,"3º","Bíblia","Alfabetização Bíblica","3.BL.1.f","Posso explicar o propósito da morte de Jesus na cruz."
151,"3º","Bíblia","Alfabetização Bíblica","3.BL.1.f","Posso explicar o propósito da morte de Jesus na cruz."
152,"3º","Bíblia","Alfabetização Bíblica","3.BL.1.g","Posso categorizar os livros do Novo Testamento em Evangelhos, Atos dos Apóstolos, cartas (de Paulo, gerais) e Apocalipse."
153,"3º","Bíblia","Alfabetização Bíblica","3.BL.1.g","Posso categorizar os livros do Novo Testamento em Evangelhos, Atos dos Apóstolos, cartas (de Paulo, gerais) e Apocalipse."
154,"3º","Bíblia","Alfabetização Bíblica","3.BL.1.h","Posso memorizar os versículos bíblicos principais (João 1:1-2, João 3:3, Romanos 8:38-39, 2 Coríntios 5:17) e explicar o que significam para mim."
155,"3º","Bíblia","Alfabetização Bíblica","3.BL.1.h","Posso memorizar os versículos bíblicos principais (João 1:1-2, João 3:3, Romanos 8:38-39, 2 Coríntios 5:17) e explicar o que significam para mim."
156,"3º","Bíblia","Discernimento Espiritual","3.SD.2.a","Posso explicar como Deus pode me guiar em todas as circunstâncias como parte do Seu bom plano."
157,"3º","Bíblia","Discernimento Espiritual","3.SD.2.a","Posso explicar como Deus pode me guiar em todas as circunstâncias como parte do Seu bom plano."
158,"3º","Bíblia","Discernimento Espiritual","3.SD.2.b","Posso descrever o papel do louvor e da ação de graças na oração."
159,"3º","Bíblia","Discernimento Espiritual","3.SD.2.b","Posso descrever o papel do louvor e da ação de graças na oração."
